ORDER,CLUSTER,DOMAIN,STRUCTURE
1,6,EMOTION,left_amygdala
1,6,EMOTION,left_hippocampus
1,6,EMOTION,left_parahippocampal_gyrus_anterior_division
1,6,EMOTION,right_amygdala
1,6,EMOTION,right_hippocampus
1,6,EMOTION,right_parahippocampal_gyrus_anterior_division
1,6,EMOTION,right_parahippocampal_gyrus_posterior_division
1,6,EMOTION,right_temporal_fusiform_cortex_anterior_division
2,3,ANTICIPATION,left_accumbens
2,3,ANTICIPATION,left_caudate
2,3,ANTICIPATION,left_pallidum
2,3,ANTICIPATION,left_putamen
2,3,ANTICIPATION,left_subcallosal_cortex
2,3,ANTICIPATION,right_accumbens
2,3,ANTICIPATION,right_caudate
2,3,ANTICIPATION,right_pallidum
2,3,ANTICIPATION,right_putamen
2,3,ANTICIPATION,right_subcallosal_cortex
3,7,COGNITION,left_brainstem
3,7,COGNITION,left_cingulate_gyrus_anterior_division
3,7,COGNITION,left_cingulate_gyrus_posterior_division
3,7,COGNITION,left_frontal_medial_cortex
3,7,COGNITION,left_frontal_operculum_cortex
3,7,COGNITION,left_frontal_orbital_cortex
3,7,COGNITION,left_frontal_pole
3,7,COGNITION,left_insular_cortex
3,7,COGNITION,left_paracingulate_gyrus
3,7,COGNITION,left_thalamus
3,7,COGNITION,right_brainstem
3,7,COGNITION,right_cingulate_gyrus_anterior_division
3,7,COGNITION,right_cingulate_gyrus_posterior_division
3,7,COGNITION,right_frontal_medial_cortex
3,7,COGNITION,right_frontal_operculum_cortex
3,7,COGNITION,right_frontal_orbital_cortex
3,7,COGNITION,right_frontal_pole
3,7,COGNITION,right_inferior_frontal_gyrus_pars_triangularis
3,7,COGNITION,right_insular_cortex
3,7,COGNITION,right_paracingulate_gyrus
3,7,COGNITION,right_temporal_pole
3,7,COGNITION,right_thalamus
4,5,VISION,left_cerebellum
4,5,VISION,left_cuneal_cortex
4,5,VISION,left_inferior_temporal_gyrus_temporooccipital_part
4,5,VISION,left_intracalcarine_cortex
4,5,VISION,left_lateral_occipital_cortex_inferior_division
4,5,VISION,left_lingual_gyrus
4,5,VISION,left_middle_temporal_gyrus_temporooccipital_part
4,5,VISION,left_occipital_fusiform_gyrus
4,5,VISION,left_occipital_pole
4,5,VISION,left_precuneous_cortex
4,5,VISION,left_supracalcarine_cortex
4,5,VISION,left_temporal_occipital_fusiform_cortex
4,5,VISION,right_cerebellum
4,5,VISION,right_cuneal_cortex
4,5,VISION,right_inferior_temporal_gyrus_temporooccipital_part
4,5,VISION,right_intracalcarine_cortex
4,5,VISION,right_lateral_occipital_cortex_inferior_division
4,5,VISION,right_lateral_occipital_cortex_superior_division
4,5,VISION,right_lingual_gyrus
4,5,VISION,right_middle_temporal_gyrus_temporooccipital_part
4,5,VISION,right_occipital_fusiform_gyrus
4,5,VISION,right_occipital_pole
4,5,VISION,right_precuneous_cortex
4,5,VISION,right_supracalcarine_cortex
4,5,VISION,right_temporal_occipital_fusiform_cortex
5,2,MANIPULATION,left_angular_gyrus
5,2,MANIPULATION,left_inferior_frontal_gyrus_pars_opercularis
5,2,MANIPULATION,left_inferior_frontal_gyrus_pars_triangularis
5,2,MANIPULATION,left_lateral_occipital_cortex_superior_division
5,2,MANIPULATION,left_middle_frontal_gyrus
5,2,MANIPULATION,left_postcentral_gyrus
5,2,MANIPULATION,left_precentral_gyrus
5,2,MANIPULATION,left_superior_frontal_gyrus
5,2,MANIPULATION,left_superior_parietal_lobule
5,2,MANIPULATION,left_supplementary_motor_cortex
5,2,MANIPULATION,left_supramarginal_gyrus_anterior_division
5,2,MANIPULATION,left_supramarginal_gyrus_posterior_division
5,2,MANIPULATION,right_angular_gyrus
5,2,MANIPULATION,right_inferior_frontal_gyrus_pars_opercularis
5,2,MANIPULATION,right_middle_frontal_gyrus
5,2,MANIPULATION,right_postcentral_gyrus
5,2,MANIPULATION,right_precentral_gyrus
5,2,MANIPULATION,right_superior_frontal_gyrus
5,2,MANIPULATION,right_superior_parietal_lobule
5,2,MANIPULATION,right_supplementary_motor_cortex
5,2,MANIPULATION,right_supramarginal_gyrus_anterior_division
5,2,MANIPULATION,right_supramarginal_gyrus_posterior_division
6,1,MEANING,left_inferior_temporal_gyrus_anterior_division
6,1,MEANING,left_inferior_temporal_gyrus_posterior_division
6,1,MEANING,left_middle_temporal_gyrus_anterior_division
6,1,MEANING,left_middle_temporal_gyrus_posterior_division
6,1,MEANING,left_parahippocampal_gyrus_posterior_division
6,1,MEANING,left_temporal_fusiform_cortex_anterior_division
6,1,MEANING,left_temporal_fusiform_cortex_posterior_division
6,1,MEANING,right_inferior_temporal_gyrus_anterior_division
6,1,MEANING,right_inferior_temporal_gyrus_posterior_division
6,1,MEANING,right_middle_temporal_gyrus_anterior_division
6,1,MEANING,right_temporal_fusiform_cortex_posterior_division
7,4,LANGUAGE,left_central_opercular_cortex
7,4,LANGUAGE,left_heschls_gyrus
7,4,LANGUAGE,left_parietal_operculum_cortex
7,4,LANGUAGE,left_planum_polare
7,4,LANGUAGE,left_planum_temporale
7,4,LANGUAGE,left_superior_temporal_gyrus_anterior_division
7,4,LANGUAGE,left_superior_temporal_gyrus_posterior_division
7,4,LANGUAGE,left_temporal_pole
7,4,LANGUAGE,right_central_opercular_cortex
7,4,LANGUAGE,right_heschls_gyrus
7,4,LANGUAGE,right_middle_temporal_gyrus_posterior_division
7,4,LANGUAGE,right_parietal_operculum_cortex
7,4,LANGUAGE,right_planum_polare
7,4,LANGUAGE,right_planum_temporale
7,4,LANGUAGE,right_superior_temporal_gyrus_anterior_division
7,4,LANGUAGE,right_superior_temporal_gyrus_posterior_division
