ORDER,CLUSTER,DOMAIN,TOKEN,R,SIMILARITY
1,1,MEMORY,memory,0.7486946380158939,0.9187535420266968
1,1,MEMORY,retrieval,0.6450969065807083,0.8893717054117152
1,1,MEMORY,episodic_memory,0.6319416980977822,0.8411981654203463
1,1,MEMORY,encoding,0.6303805621902536,0.8796812686142671
1,1,MEMORY,recognition_memory,0.6218584517052721,0.8101944840483871
1,1,MEMORY,remembering,0.600269787505368,0.7109689873475213
1,1,MEMORY,memory_retrieval,0.5470532751932742,0.8084992411976046
1,1,MEMORY,recall,0.523470682653329,0.8121487810874005
1,1,MEMORY,recognition,0.482597691984342,0.787356726729274
1,1,MEMORY,longterm_memory,0.4657866093151748,0.79497395914472
1,1,MEMORY,encoding_task,0.4645758872385982,0.6791018076182461
1,1,MEMORY,declarative_memory,0.4601665959920698,0.7117702823647087
1,1,MEMORY,forgetting,0.4591873546912259,0.6497911019065629
1,1,MEMORY,source_memory,0.4548041123497083,0.72521826767135
1,1,MEMORY,familiarity,0.4495034862184685,0.6874838729905058
1,1,MEMORY,free_recall,0.4229493370140097,0.6836380704143438
1,1,MEMORY,memory_process,0.4172580794696911,0.7180214540644021
1,1,MEMORY,consolidation,0.3610908417968678,0.6857961990370037
1,1,MEMORY,memory_trace,0.357453429800088,0.5847081451338495
1,1,MEMORY,retrieval_cue,0.3527637646613593,0.5720574025033911
1,1,MEMORY,explicit_memory,0.34859292312853807,0.6793008052624976
1,1,MEMORY,memory_function,0.3480140562482593,0.5806569130221553
1,1,MEMORY,retention,0.34340252120702275,0.6016280503739689
1,1,MEMORY,memory_consolidation,0.3394011009611833,0.5971729268979098
1,1,MEMORY,spatial_memory,0.32853248175809524,0.6384037318823467
2,4,EMOTION,emotion,0.5829994659047848,0.86697384654058
2,4,EMOTION,reward,0.4872931361080267,0.6319708886679292
2,4,EMOTION,personality,0.46353091617447517,0.6751073083739647
2,4,EMOTION,fear,0.4635221946148752,0.7443825592516424
2,4,EMOTION,negative_emotion,0.45911416721615866,0.7596802958401777
2,4,EMOTION,arousal,0.45866777684518,0.7496588733340045
2,4,EMOTION,valence,0.45296979980652763,0.7430312741783788
2,4,EMOTION,anxiety,0.4442490475929316,0.7590351225306856
2,4,EMOTION,emotion_regulation,0.43898647079375047,0.719121871750197
2,4,EMOTION,mood,0.4129424899801236,0.7183337231030138
2,4,EMOTION,facial_expression,0.41043272657599905,0.6667954969345585
2,4,EMOTION,reward_processing,0.40716179038479017,0.591624295251514
2,4,EMOTION,anger,0.3977069985006345,0.7418732609556131
2,4,EMOTION,disgust,0.3744530259405674,0.7099552283097235
2,4,EMOTION,anticipation,0.3703559180152778,0.6262128292674568
2,4,EMOTION,empathy,0.37019769972737293,0.6727632318121333
2,4,EMOTION,sadness,0.36658944191943976,0.6769772222799355
2,4,EMOTION,social_cognition,0.36146496965886926,0.5479734541295284
2,4,EMOTION,personality_trait,0.3499436464628172,0.6163130597464199
2,4,EMOTION,decision_making,0.3422729755961168,0.5020691296868309
2,4,EMOTION,salience,0.338012862160054,0.587538425202775
2,4,EMOTION,happiness,0.33113736042375347,0.6919127373861172
2,4,EMOTION,neuroticism,0.32363642518256996,0.6131663138386106
2,4,EMOTION,addiction,0.3166366134289279,0.4293128480755608
2,4,EMOTION,stress,0.3161242109809248,0.6254787440146468
3,5,INFERENCE,context,0.37313026507854075,0.8165063435464117
3,5,INFERENCE,cognition,0.36196678708432867,0.5818406656640153
3,5,INFERENCE,knowledge,0.3359901097363208,0.8362532359806892
3,5,INFERENCE,goal,0.3341693685974766,0.7352290174610431
3,5,INFERENCE,judgment,0.33362091604094785,0.6972989364973516
3,5,INFERENCE,manipulation,0.3261921141896149,0.6683909210932281
3,5,INFERENCE,decision,0.3155810033958981,0.7014345767723615
3,5,INFERENCE,inference,0.31312208986429446,0.6207619865891968
3,5,INFERENCE,focus,0.2936907285065734,0.7228383171130277
3,5,INFERENCE,concept,0.2872457926979811,0.7410621972444562
3,5,INFERENCE,insight,0.28519386824120285,0.6175536193358941
3,5,INFERENCE,search,0.28428591189559566,0.6143040483554332
3,5,INFERENCE,thought,0.2810399858731122,0.7105931879897786
3,5,INFERENCE,capture,0.26182052838213843,0.5968870309496328
3,5,INFERENCE,representation,0.25866288432840717,0.7433749668404763
3,5,INFERENCE,meaning,0.2545476074686355,0.7693227307700908
3,5,INFERENCE,generate,0.25368262597724645,0.6727555981921849
3,5,INFERENCE,estimation,0.23900439564804116,0.5052769865213204
3,5,INFERENCE,retrieval,0.2386267300306089,0.7296732914785129
3,5,INFERENCE,button_press,0.23486397593425765,0.4317894249825568
3,5,INFERENCE,language,0.23431638411362862,0.6578922624090131
3,5,INFERENCE,draw,0.2288767762031291,0.6159296895263269
3,5,INFERENCE,semantics,0.22847113775271138,0.6178915045978409
3,5,INFERENCE,semantic_processing,0.2280901361063163,0.6551321623418817
3,5,INFERENCE,skill,0.2271952747443243,0.5805370903128213
4,2,COGNITION,working_memory,0.5554737537999936,0.8190867890404466
4,2,COGNITION,executive_function,0.4843483313727682,0.7677836110586753
4,2,COGNITION,cognitive,0.46909997881562693,0.7459254426985797
4,2,COGNITION,cognitive_control,0.4630302585963534,0.8198418447848121
4,2,COGNITION,response_inhibition,0.4294550391768858,0.780937151182068
4,2,COGNITION,interference,0.4217014613012605,0.8033285428080132
4,2,COGNITION,stroop,0.3825474718947812,0.7083425222418178
4,2,COGNITION,stroop_task,0.3790365840843396,0.7337097811146166
4,2,COGNITION,maintenance,0.3757917513451433,0.6502701866080587
4,2,COGNITION,task_switching,0.36786205924421367,0.7031052438138772
4,2,COGNITION,attention,0.3638727253596892,0.7144812379423777
4,2,COGNITION,reaction_time,0.35604718240917455,0.6240596533407008
4,2,COGNITION,response_selection,0.3515218275901161,0.7464772958686469
4,2,COGNITION,monitoring,0.3474756111316231,0.6702774665481362
4,2,COGNITION,cognitive_process,0.3469438380345532,0.7217614686652566
4,2,COGNITION,inhibition,0.3367802035531142,0.7432060786777028
4,2,COGNITION,gonogo_task,0.33279325389583225,0.7096363582116891
4,2,COGNITION,gonogo,0.33139513626515954,0.6500338871009995
4,2,COGNITION,error_detection,0.33096194534926915,0.5436860733386555
4,2,COGNITION,nback_task,0.3273683386113248,0.6579981227740339
4,2,COGNITION,cognitive_function,0.32530052725086644,0.6090651812839933
4,2,COGNITION,resource,0.31841421156466254,0.5910492231248661
4,2,COGNITION,spatial_working_memory,0.3179120163581187,0.5761128334132241
4,2,COGNITION,nback,0.3171664687932826,0.6151633383384942
4,2,COGNITION,taskswitching,0.3062220053342587,0.698985890395101
5,6,VISION,movement,0.44608991653223323,0.7696674753804151
5,6,VISION,hand,0.43607781602709783,0.7872624971599614
5,6,VISION,eye,0.43081068080177154,0.7133350468765024
5,6,VISION,representation,0.4171542677153463,0.7030871925607627
5,6,VISION,eye_movement,0.413473984913476,0.6987253152679531
5,6,VISION,vision,0.41007416812415576,0.653638536626312
5,6,VISION,grasping,0.4025310637725511,0.6977355086384943
5,6,VISION,execution,0.39710854220355096,0.6963999029967655
5,6,VISION,spatial_attention,0.3878308839897114,0.6396413962284223
5,6,VISION,perception,0.38089376427629873,0.7049440885301258
5,6,VISION,saccade,0.37187276386986445,0.6654184886785987
5,6,VISION,spatial,0.3670485205873029,0.6841830784259317
5,6,VISION,arm,0.35549147310135576,0.638817981118705
5,6,VISION,action,0.3451664936051031,0.6761669485524717
5,6,VISION,grasp,0.3414985778638873,0.5996901703401666
5,6,VISION,visual_angle,0.33861137009987374,0.34036580738470223
5,6,VISION,visual_perception,0.3382844619225998,0.6559159475198779
5,6,VISION,object_recognition,0.32221259088634624,0.6062571825032557
5,6,VISION,move,0.31496065384609184,0.6248425442067831
5,6,VISION,shape,0.3097940643353842,0.7265966415583284
5,6,VISION,visual_attention,0.3055869440588719,0.5884240024586056
5,6,VISION,motion_processing,0.3027019809893785,0.5346457680218399
5,6,VISION,multisensory,0.30017509364071204,0.5303079378929659
5,6,VISION,visual_motion,0.2979643621342223,0.6232442557376017
5,6,VISION,discrimination,0.2924182963447658,0.6335170112073132
6,3,LANGUAGE,language,0.7667751793605214,0.8410626784275729
6,3,LANGUAGE,word,0.6628748000027407,0.7788914581756604
6,3,LANGUAGE,semantic_processing,0.6350257713230836,0.7821011805575769
6,3,LANGUAGE,language_processing,0.6286049628455825,0.8211362320977337
6,3,LANGUAGE,phonology,0.6249566790170911,0.8013611967786006
6,3,LANGUAGE,semantics,0.6190896839335309,0.7972884793742117
6,3,LANGUAGE,reading,0.6015373010293825,0.7988127750696045
6,3,LANGUAGE,phonological_processing,0.5963927432041727,0.7952379465572114
6,3,LANGUAGE,speech,0.5801898537326439,0.7665551083894341
6,3,LANGUAGE,language_comprehension,0.5408108512135734,0.7279326129791314
6,3,LANGUAGE,syllable,0.5396347414718445,0.6518590219679387
6,3,LANGUAGE,pseudowords,0.5275352840742561,0.7115884575490103
6,3,LANGUAGE,naming,0.5167975430058376,0.7054771085785554
6,3,LANGUAGE,lexicon,0.5083257298189565,0.6413676449202032
6,3,LANGUAGE,sentence_processing,0.5056668913179798,0.7197776261092406
6,3,LANGUAGE,sentence_comprehension,0.505424880320716,0.6837635678901574
6,3,LANGUAGE,word_recognition,0.5023300598859137,0.71400702255559
6,3,LANGUAGE,lexical_access,0.482850764770717,0.6798319206624545
6,3,LANGUAGE,speech_production,0.4759123346452213,0.7469423199424264
6,3,LANGUAGE,syntax,0.4657057828791,0.6976045846767019
6,3,LANGUAGE,speech_perception,0.46160579949683,0.7032757215605202
6,3,LANGUAGE,speech_processing,0.4595914983078547,0.6457056639451769
6,3,LANGUAGE,orthography,0.45782546520169065,0.695952227079284
6,3,LANGUAGE,articulation,0.4572825121843246,0.6928709314436984
6,3,LANGUAGE,meaning,0.45667589620979365,0.7257987424639584
